number,value,chunk_size,chunk_overlap,quantity_chunks,avg_precision,avg_recall,avg_iou
0,0.2375590272281754,20,4,4,0.27328199565922573,0.642672825737763,0.2375590272281754
1,0.12626593280267714,50,11,5,0.12947596059624397,0.8330338497581918,0.12626593280267714
2,0.40461213068671936,35,11,1,0.5340916400181296,0.5799844272109015,0.40461213068671936
3,0.0,25,15,1,,,0.0
4,0.0,15,5,2,,,0.0
5,0.0,30,12,2,,,0.0
6,0.0,20,14,3,,,0.0
7,0.0,35,15,3,,,0.0
8,0.3898087382628253,45,11,1,0.4700951063008098,0.6079180639638434,0.3898087382628253
9,0.0,15,7,2,,,0.0
10,0.35026532153965945,40,1,1,0.44073565274249493,0.5243699694546272,0.35026532153965945
11,0.34923179577928115,45,10,1,0.4361813549782216,0.5644785121870676,0.34923179577928115
12,0.3509526195874299,40,8,1,0.4476149006579514,0.5567647407433111,0.3509526195874299
13,0.2543506699337205,50,10,2,0.27388867877308937,0.771008747077697,0.2543506699337205
14,0.0,35,12,4,,,0.0
15,0.360169057403432,40,13,1,0.4534926843866787,0.5482761933169735,0.360169057403432
16,0.3472671981672207,30,9,2,0.40411057960997304,0.6858927868514483,0.3472671981672207
17,0.2071837937268949,45,6,3,0.2201223646874259,0.7756152701237595,0.2071837937268949
18,0.16405161313875902,45,9,4,0.1716724617285323,0.8157302915800846,0.16405161313875902
19,0.0,35,13,1,,,0.0
20,0.0,10,11,3,,,0.0
21,0.360169057403432,40,13,1,0.4534926843866787,0.5482761933169735,0.360169057403432
22,0.0,30,13,1,,,0.0
23,0.30925201734309987,40,11,2,0.34165001271507617,0.7556858954280629,0.30925201734309987
24,0.3641064894992526,45,14,1,0.44249836623464733,0.5747487018535068,0.3641064894992526
25,0.25928297982330945,50,15,2,0.28117067544095614,0.767223354102717,0.25928297982330945
26,0.3380506873433724,45,9,1,0.41478370389303243,0.5464491053593896,0.3380506873433724
27,0.0,35,12,5,,,0.0
28,0.2741503391242949,45,14,2,0.30072677275952414,0.7196090939627132,0.2741503391242949
29,0.0,25,10,1,,,0.0
30,0.3471885422946442,50,1,1,0.4165347338326639,0.5995480822726073,0.3471885422946442
31,0.0,40,14,1,,,0.0
32,0.3324405744897619,45,12,1,0.42018711009012605,0.5243077990169361,0.3324405744897619
33,0.37067213890916484,40,3,1,0.47479888960294553,0.55285537234585,0.37067213890916484
34,0.29583788901027064,35,3,2,0.340935725093602,0.6803930873971067,0.29583788901027064
35,0.2804500158258363,50,3,1,0.3469253266998445,0.5189712489863645,0.2804500158258363
36,0.311823557857664,30,5,2,0.3686702949613074,0.6304391325367382,0.311823557857664
37,0.3989483087201915,25,7,1,0.6019354619829919,0.49648910277936215,0.3989483087201915
38,0.360245147139965,25,7,2,0.43947272860517894,0.6669539971071357,0.360245147139965
39,0.36663009647553757,20,4,1,0.6122744028222704,0.42221521846448884,0.36663009647553757
40,0.25431014932873874,20,2,3,0.3165787658179111,0.5671963809548798,0.25431014932873874
41,0.36663009647553757,20,4,1,0.6122744028222704,0.42221521846448884,0.36663009647553757
42,0.0,15,5,1,,,0.0
43,0.3351351292116567,25,4,1,0.5394114440028256,0.4160299228515866,0.3351351292116567
44,0.0,15,7,2,,,0.0
45,0.38019069881813683,25,3,1,0.5766323686708311,0.47018005202038715,0.38019069881813683
46,0.3248845425107924,25,2,1,0.5178013939894753,0.42357077169774027,0.3248845425107924
47,0.2866475846224428,35,6,2,0.33173960847235057,0.6646056489951789,0.2866475846224428
48,0.3686569602876848,30,8,1,0.5309787148014423,0.4804237751073522,0.3686569602876848
49,0.19365156688557464,30,2,4,0.21023363606857454,0.709998908268251,0.19365156688557464
